"address","totalTxs","totalVolume"
"0x00000000005dbcb0d0513fcda746382fe8a53468","5","11895.7601"
"0x00000000009a41862f3b2b0c688b7c0d1940511e","2","35544.02267"
"0x0000000000e52081b4531278fcd274e5f3cd86b5","2","18241.82446"
"0x000000000a38444e0a6e37d3b630d7e855a7cb13","3","8050.84135"
"0x000000000ecef000e9d22b7e0eb78ef2a8e698d5","2","3310.73052"
"0x00000000c222f1336b0167f60543996ddeeec492","6","1344.9658"
"0x00000000cc0b822819f03424dacf9077fdaa58a3","3","3992.90367"
"0x0000000367ba4371cb48816a1cf2f3902448f1bc","3","12642.26018"
"0x00000003cd3aa7e760877f03275621d2692f5841","20","30460.55252"
"0x0000000506063a51c6ce59906d8c40f7d7fe92a7","2","99767.57809"
"0x000000064730640b7d670408d74280924883064f","9","37838.8808"
"0x000000ea0e309ba169bfa8010eb5e95db131940a","4","401253.02896"
"0x0000a240a748224a0602b52814145b7a3ad55ef0","5","4902.84016"
"0x0000ce08fa224696a819877070bf378e8b131acf","18","124288.55973"
"0x0000d9a3b314efe192b292801a5112618dab6f42","2","2432.21854"
"0x0000ecb341a3c0bb394f377d3a524703fb8b76fb","5","6551.15157"
"0x0001196fccc127952fc5a6f3a5d5546c7487f78a","3","2250.67592"
"0x000158e60c393b51fdfac71b14ce70b70148c326","4","17946.90976"
"0x0001cf2b6528d6ebab8a8869fb8786c1398c5015","2","1282.66339"
"0x0002fd0f1d0708fdf065d3625b2ee83d210d58d9","3","2154.05827"
"0x00071508db163ee69814aad31562f44b787c2d4d","2","3964.42223"
"0x0007448f4ba168e24c35f835eefa1a76587d691d","3","43726.88528"
"0x000a0b24b1476f647a2a2fa4474f9ed32c685a8e","4","119399.94182"
"0x000aba3fffb94d769c3aa1b3eacdc237de18802e","3","3864.28557"
"0x000abfe337d7ef2ee79a3e48b515a3849c21e78e","2","1095.03407"
"0x000c1aede0824a53f5ba7d6c8cc66f4b4b631c1a","15","1279.30549"
"0x000cd27f10dffac73201258eaa3925c0452051a0","5","4894.4398"
"0x000f4432a40560bbff1b581a8b7aded8dab80026","15","77218.30716"
"0x0010f663eeaf1f77b48a256992fe2dbf0d8d8744","8","267085.11635"
"0x0011ddd92e881709a997ca809813e0489d0e138b","3","9919.33113"
"0x0014ea9bbe130c8af7f00c8e61fc07368bdaaf7d","4","2571.40024"
"0x00194b4a1d57e72a26f6bfa6e382a146df73c322","10","8713.3008"
"0x001b71fad769b3cd47fd4c9849c704fdfabf6096","4","6014.63408"
"0x001be549fa377710b9e59d57bbdf593ce1e379ca","6","2243.06263"
"0x001d403396518fe7b0032df1b648498f9c7caa1d","7","24733.62756"
"0x001f96b7e19a54ae45f451b0148336504d03fdcf","2","2509.4774"
"0x0022cad56c8e5a4efe62b48a3f1c8a4f595c4405","2","1181.62035"
"0x002500f7f5e9589ff88a64675c47a4fe22eca101","8","2790.65076"
"0x002505eefcbd852a148f03ca3451811032a72f96","9","5366.73913"
"0x0026f413741231d943de4de2ef0d4b855c8a389a","3","2605.29292"
"0x0027dea862773ddd43cc58c57768837b0b4b6243","7","1150.44208"
"0x002947f3add48ed81d3575bc4e1e9f50744ef856","2","1993.7916"
"0x0029ab135b5be72168bf80f140d60a9264dbd0c5","2","6289.15894"
"0x002c77a71d54e6da4b28690fe1676752a74a67eb","18","4257.51318"
"0x002ce391fc34c1f3823d9405d27f08f9ff082f20","2","1269.25535"
"0x002d63ab324d3e0ffc218bc53b7dd842e8a9f11f","2","1859.15015"
"0x003127b115296ecef3bea304fd3f7eb3dc4172ca","2","1851.27457"
"0x0031e29fdd94c0a259eea28865855d8d22b426ce","2","7921.42527"
"0x003241b8f1f51d97561677be952fef8d90ea485f","6","1887.22806"
"0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c","3","10841.26246"
"0x0035d58e868deb2b4eb4d8726eb2f3aaab14e9e3","3","1619.26143"
"0x0036534c48a754163f0f446601f36bcfda840f57","7","4021.58599"
"0x003e39abfd1e7fcd4a383b05616f52c5faee2b4b","2","38397.51765"
"0x00409491bad26482c53f016ce0099e1941292725","3","1553.29985"
"0x004537fcd9095489ebe38180a382341b962b501d","2","8627.97724"
"0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81","2","24183.87198"
"0x004b5427e5cda44eee0e4e94dfa97885c4799fad","3","3766.13975"
"0x004bac9f45af6848ffbdf0dec8f47023ccd7a138","10","3562.08597"
"0x004ff14bc58969f78b0a8063e07801831426746e","2","3936.85592"
"0x005475be981822296283c7b11f5c5c63e04698ff","2","7992.80053"
"0x005dcf56c975469f3f1d92b5cea28ef1408c81b4","16","48584.71037"
"0x00610d1b203f9ddf2776d8729b0de854f5dce8ed","2","3996.5801"
"0x00645dd21310882cc32399abcb54e0a05b3b5d1d","8","71968.75365"
"0x00649c44f3503c98befeb28741a0dc8610df457f","8","1712.32983"
"0x006517986cada5ea371cea58af62ff9237e49c45","4","2263.16392"
"0x0069e46ee7c2fe84cd094a9d04736ad39813ad0e","3","2030.70024"
"0x006d0f31a00e1f9c017ab039e9d0ba699433a28c","5","130522.21862"
"0x006ee776fc1a9b35464de5b89a0c6b1acaec38ad","4","1154.72558"
"0x0076d4e3c1bb472d792043d931eb647ff28aeef4","2","27140.299"
"0x0078802b5f20fa49cc69529e23205eaa7a7c08b2","2","1792.68047"
"0x0079bf6868cb1b7cf4a451311fd70c348f3ed38b","3","20051.82708"
"0x007c4bb067d9b6afeb4c13415477d396123c4aa3","5","62045.06681"
"0x007de57773b6eb4ebbf6a740dfde1efdd5629630","20","16968.64101"
"0x0080c6db0eb694bcb00dd46220834adbe7f83189","5","9783.81984"
"0x00859b3baac525143bb8a3ee3e19ddf9daf2408c","4","9869.13582"
"0x0085d428ac99c42b30cb38373b1c233846891c9a","5","36577.50733"
"0x00897e2d7168165b81558c3cd9257efb007f2410","9","64489.44695"
"0x008b34d620493319c94d9e2e8ebeb3b602024f15","8","3019.70996"
"0x008d7a063eb5f7c706b72fbe48ce532defe153d1","3","6327.38211"
"0x00929c5c2c4f00b540e429247669eb6fcd8b1dbf","15","37988.30321"
"0x009a64c4c3a7ee32cedeb3b6ab98d15e1799e3f4","4","105298.01455"
"0x009c07cc41a358176c97b525284d50f4960bc939","2","2535.48221"
"0x009d2aef6eded4c1543e9a41cc6f864b5ecfb564","2","2637.99775"
"0x009e825c2ebee319048a9909efccf2fd298e7fde","13","6992.34201"
"0x009f846d1382a9ad951723bc674094ecbd03e525","11","18524.94497"
"0x00a1b46319be9163b8ae30dbe506235608a563dc","7","22735.28447"
"0x00a310933a29e2aa2e5a6590975e5e5e8c79e1e9","3","2166.41083"
"0x00a4b7fae16cd0169902bc4e3ac7dacbcf685dcd","5","5695.05488"
"0x00a622dbbf94a59dcfa9e00aa83c4694c9b05bb5","5","4355.18346"
"0x00a8bec03805bcfaafab1050dbcf90f57982d750","14","11719.53506"
"0x00aa6c7deaec3b1cfd954d06a0c43bba1f252579","2","1076.66019"
"0x00acc3f963b275260343222ba3b9ae9e4123aa36","4","1069.81956"
"0x00ad3c523b715cbd6cc1771f1a1743269b220fa4","8","32218.4396"
"0x00ad3d4cc099be937879451698c673cbd5c3cefc","6","3039.30194"
"0x00ad4f0ac5a64b01173357fa14609acdcfcd0a8c","3","16346.55856"
"0x00b51820a9d027fb2de9eb58d898db0179ead8b4","4","2964.478"
"0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd","9","59877.98016"
"0x00b6286a5896fb6cfa0027b4b029d3237a4f4569","2","1311.47387"
"0x00b6cf6b1685104f9c114a1cf59e7232af99ca6a","2","6031.17756"
"0x00b8fb12be8064858441a7facfd5e0bbe45c529b","3","6889.15766"
"0x00bc5b61042fa8375dba651a2309bc5595302ec1","4","871655.43343"
"0x00bd42f0ce1f2b9be6f6a40a569710c209077a4a","3","7783.63705"
"0x00beeb85d617364526a34e8402ee082697d3beb6","13","82241.11355"
"0x00c5ecab84e53dc61ef83a3b9eeb82b012133569","7","4959.31582"
"0x00c67d9d6d3d13b42a87424e145826c467cccd84","4","40985.88682"
"0x00c78c256b12d21f8a7dc06fe6dfe07c16886e4c","3","2497.92468"
"0x00c96f32beb265ef90ced7af720c77f4474570ec","4","1407.74934"
"0x00ca04caa39eb913749c94ead54f503e84eac988","32","13307070.90107"
"0x00ca85ee123cf086bd6df5399739f7a65e3ea631","4","2649.85973"
"0x00cb52731a72ca4f287bd3c538c63fec6915ccfb","3","27760.89973"
"0x00d10cf10f38f0d2cf12e6494a63c9cccb9d406f","2","1825.88624"
"0x00d12403df929243d392cf580e2a17643bac1d9d","2","2184.64034"
